Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Stuart Gray,C,26,TOT,58,560,8.5,0.485,0.051,0.475,7.7,22.4,14.7,4.5,1.3,2.8,16.7,10.9,0.0,0.7,0.6,0.054000000000000006,-5.1,1.8,-3.3,-0.2
Jeff Grayer,SF,24,MIL,71,1427,11.4,0.495,0.016,0.312,7.4,10.0,8.7,10.8,1.6,0.4,12.9,18.7,0.4,1.1,1.5,0.05,-2.2,-0.8,-3.0,-0.4
A.C. Green,PF,26,LAL,82,2709,14.7,0.5479999999999999,0.057,0.45899999999999996,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,0.13699999999999998,0.3,0.0,0.4,1.6
Rickey Green,PG,35,IND,69,927,10.9,0.48100000000000004,0.048,0.221,1.2,5.4,3.4,26.4,2.7,0.1,19.7,14.7,0.2,0.5,0.7,0.037000000000000005,-3.0,-2.2,-5.2,-0.7
Sidney Green,C,29,ORL,73,1860,12.7,0.501,0.004,0.313,9.1,24.7,16.7,7.5,1.2,0.8,13.6,18.5,0.5,1.2,1.7,0.044000000000000004,-2.3,-0.5,-2.8,-0.4
Dave Greenwood,PF,32,DET,37,205,10.9,0.46299999999999997,0.0,0.5579999999999999,13.4,29.8,21.6,8.0,1.0,2.8,19.8,17.0,-0.1,0.5,0.4,0.085,-4.8,2.3,-2.5,0.0
Darrell Griffith,SG,31,UTA,82,1444,13.6,0.536,0.331,0.12,3.7,9.4,6.7,6.9,2.4,0.8,9.9,22.9,0.6,1.8,2.5,0.083,0.3,-0.7,-0.4,0.6
Scott Haffner,PG,23,MIA,43,559,8.3,0.43,0.09699999999999999,0.115,1.3,9.0,5.0,20.4,1.1,0.2,12.6,18.8,-0.4,0.3,-0.1,-0.008,-4.4,-2.3,-6.7,-0.7
Jack Haley,PF,26,TOT,67,1084,8.5,0.449,0.003,0.36,10.7,19.4,14.8,3.5,0.8,0.7,15.2,17.6,-0.6,0.9,0.3,0.013000000000000001,-5.1,-1.8,-6.9,-1.3
Tom Hammonds,PF,22,WSB,61,805,10.5,0.475,0.003,0.332,8.1,14.5,11.3,8.5,0.7,1.0,12.0,19.5,0.0,0.5,0.5,0.031,-3.3,-1.8,-5.2,-0.6
Bob Hansen,SG,29,UTA,81,2174,8.5,0.517,0.271,0.113,3.8,8.3,6.2,9.5,1.2,0.3,11.7,13.5,0.9,2.0,2.8,0.062,-0.6,0.6,0.0,1.1
Bill Hanzlik,PF,32,DEN,81,1605,10.3,0.525,0.078,0.462,4.1,9.7,6.8,14.0,2.2,1.0,15.4,13.7,1.0,1.9,2.9,0.086,-1.7,1.3,-0.4,0.6
Tim Hardaway,PG,23,GSW,79,2663,16.0,0.525,0.085,0.28,2.4,9.6,6.2,36.4,2.8,0.2,19.0,20.5,1.9,1.4,3.3,0.06,1.0,-1.1,-0.1,1.3
Derek Harper,PG,28,DAL,82,3007,19.8,0.5670000000000001,0.207,0.271,2.1,7.0,4.6,32.2,3.2,0.5,13.7,22.0,6.3,3.6,9.9,0.158,4.2,0.1,4.3,4.8
Ron Harper,SG,26,TOT,35,1367,20.2,0.54,0.08,0.363,6.2,10.9,8.6,21.9,2.9,1.8,11.9,25.8,2.2,1.7,3.9,0.138,3.1,1.3,4.3,2.2
Steve Harris,SG,26,LAC,15,93,6.0,0.371,0.0,0.1,6.2,6.1,6.1,1.6,3.6,0.6,10.7,21.0,-0.2,0.1,-0.1,-0.061,-7.2,-1.6,-8.8,-0.2
Scott Hastings,PF,29,DET,40,166,7.0,0.49200000000000005,0.364,0.667,4.8,17.1,11.0,6.2,0.9,1.1,14.1,12.9,0.1,0.3,0.3,0.10099999999999999,-3.5,0.7,-2.8,0.0
Hersey Hawkins,SG,23,PHI,82,2856,17.0,0.57,0.17600000000000002,0.384,3.4,8.6,6.0,13.3,2.3,0.6,12.2,22.5,5.5,2.5,8.0,0.135,2.5,-0.4,2.0,2.9
Gerald Henderson,PG,34,TOT,57,464,11.9,0.584,0.349,0.138,2.7,7.9,5.3,22.0,1.7,0.3,17.2,12.9,0.7,0.5,1.2,0.128,-0.5,-0.7,-1.2,0.1
Mike Higgins,SF,22,TOT,11,50,10.9,0.565,0.0,1.25,4.4,4.5,4.3,7.0,1.9,2.4,7.5,10.6,0.1,0.1,0.1,0.132,-1.8,0.7,-1.1,0.0
Rod Higgins,PF,30,GSW,82,1993,15.5,0.6,0.305,0.451,6.8,15.4,11.3,8.8,1.1,1.5,10.9,17.0,4.1,0.9,5.0,0.121,1.9,-1.1,0.8,1.4
Roy Hinson,PF,28,NJN,25,793,15.2,0.57,0.0,0.34600000000000003,7.7,15.9,11.5,4.5,0.9,2.0,13.6,19.3,1.1,0.7,1.8,0.107,-1.2,-0.5,-1.7,0.1
Craig Hodges,SG,29,CHI,63,1055,12.5,0.589,0.547,0.1,1.2,4.7,3.0,13.8,1.4,0.1,8.0,15.2,2.2,0.4,2.6,0.11699999999999999,1.3,-3.7,-2.3,-0.1
Mike Holton,PG,28,CHH,16,109,2.9,0.539,0.0,0.077,1.0,1.1,1.0,21.0,0.4,0.0,32.6,15.6,-0.2,0.0,-0.2,-0.081,-7.4,-4.7,-12.1,-0.3
Dave Hoppen,C,25,CHH,10,135,7.7,0.441,0.0,0.244,15.1,15.2,15.1,6.3,0.7,0.5,15.0,16.9,-0.1,0.1,0.0,0.008,-3.8,-1.1,-4.9,-0.1
Dennis Hopson,SG,24,NJN,79,2551,13.6,0.503,0.092,0.313,4.4,7.4,5.8,9.6,1.9,1.2,11.9,22.2,1.3,1.9,3.1,0.059000000000000004,-0.7,-0.5,-1.2,0.5
Tito Horford,C,24,MIL,35,236,5.1,0.35100000000000003,0.0,0.387,9.1,19.7,14.3,1.1,1.0,4.3,16.2,15.4,-0.5,0.3,-0.2,-0.037000000000000005,-9.2,-0.5,-9.6,-0.5
Jeff Hornacek,SG,26,PHO,67,2278,19.6,0.596,0.109,0.22399999999999998,4.4,10.3,7.5,21.7,2.4,0.3,11.2,20.2,5.8,2.8,8.7,0.182,4.2,1.0,5.2,4.1
Ed Horton,PF,22,WSB,45,374,14.5,0.525,0.025,0.426,16.9,14.2,15.6,7.3,1.2,0.8,16.9,25.3,0.1,0.3,0.4,0.05,-1.2,-2.9,-4.1,-0.2
Eddie Hughes,PG,29,DEN,60,892,8.3,0.48200000000000004,0.243,0.168,1.7,6.9,4.1,15.4,2.5,0.1,15.2,11.2,0.1,0.9,1.0,0.055,-2.8,0.2,-2.5,-0.1
Jay Humphries,PG,27,MIL,81,2818,16.4,0.547,0.07,0.284,3.2,7.8,5.5,24.8,2.7,0.2,11.8,19.1,5.0,2.6,7.6,0.13,1.7,-0.1,1.5,2.5
Byron Irvin,SG,23,POR,50,488,15.6,0.531,0.069,0.44799999999999995,6.6,9.9,8.2,13.7,2.7,0.1,13.8,22.7,0.5,0.7,1.2,0.12,-0.2,0.0,-0.2,0.2
Jaren Jackson,SG,22,NJN,28,160,10.8,0.428,0.043,0.304,10.0,5.7,8.0,12.6,3.9,0.4,18.7,24.2,-0.3,0.2,-0.1,-0.031,-3.7,-0.1,-3.8,-0.1
Mark Jackson,PG,24,NYK,82,2428,14.3,0.49200000000000005,0.175,0.22,5.0,9.4,7.3,34.0,2.2,0.1,20.4,17.7,1.6,2.1,3.7,0.07400000000000001,0.2,-0.5,-0.3,1.0
Michael Jackson,PG,25,SAC,17,58,8.1,0.36700000000000005,0.182,0.545,3.9,9.7,6.8,17.6,4.3,0.0,22.7,13.1,-0.1,0.1,0.0,-0.016,-5.4,1.3,-4.1,0.0
Avery Johnson,PG,24,SEA,53,575,11.6,0.439,0.027999999999999997,0.282,4.1,4.7,4.4,36.4,2.3,0.1,23.1,15.1,0.2,0.3,0.5,0.043,-2.1,-2.6,-4.7,-0.4
Buck Johnson,SF,26,HOU,82,2832,12.9,0.534,0.017,0.265,4.3,9.8,7.1,12.7,1.7,1.3,12.8,18.7,2.2,3.9,6.2,0.10400000000000001,-0.8,1.3,0.5,1.8
Dennis Johnson*,PG,35,BOS,75,2036,12.4,0.495,0.051,0.295,2.7,7.9,5.5,29.7,1.9,0.4,17.9,13.5,2.0,1.8,3.8,0.08900000000000001,-0.7,-0.4,-1.1,0.5
Eddie Johnson,SF,30,PHO,64,1811,14.9,0.542,0.203,0.226,4.5,10.1,7.4,8.9,0.8,0.3,9.8,25.2,2.4,1.5,3.9,0.10400000000000001,0.8,-2.2,-1.4,0.3
