Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Elliot Perry,PG,28,MIL,81,33,1752,7.3,17.0,0.43,0.5,1.5,0.34,6.8,15.5,0.43799999999999994,2.8,3.3,0.8440000000000001,0.6,2.6,3.3,7.0,2.7,0.1,3.9,3.9,18.0,0,96,107
Chuck Person,PF,33,SAS,61,11,1455,5.3,14.8,0.359,3.5,10.3,0.344,1.8,4.6,0.39299999999999996,1.0,1.4,0.757,0.6,7.0,7.6,3.2,1.1,0.4,2.5,4.5,15.3,0,96,102
Wesley Person,SG,26,CLE,82,82,3198,7.3,16.0,0.46,3.2,7.5,0.43,4.1,8.5,0.486,2.2,2.8,0.7759999999999999,1.1,5.0,6.1,3.1,2.2,0.8,1.8,1.8,20.1,0,114,101
Bobby Phills,SG,28,CHH,62,61,1887,7.0,15.7,0.446,1.3,3.2,0.386,5.7,12.5,0.461,3.0,4.0,0.757,1.7,4.5,6.1,5.3,2.3,0.5,3.1,5.1,18.3,0,104,106
Eric Piatkowski,SG,27,LAC,67,35,1740,7.7,17.0,0.452,3.2,7.7,0.409,4.5,9.2,0.489,4.2,5.1,0.8240000000000001,2.1,5.0,7.0,2.5,1.5,0.4,2.4,4.1,22.7,0,117,113
Ricky Pierce,SG,38,MIL,39,0,442,6.3,17.2,0.364,0.5,1.6,0.308,5.8,15.7,0.369,5.2,6.3,0.8270000000000001,2.3,3.1,5.4,4.1,1.1,0.0,2.5,4.2,18.2,0,99,110
Scottie Pippen*,SF,32,CHI,44,44,1652,10.3,23.0,0.447,2.0,6.3,0.318,8.3,16.7,0.496,4.9,6.3,0.777,1.7,5.7,7.4,8.3,2.6,1.4,3.6,3.8,27.5,0,112,99
Scot Pollard,C,22,DET,33,0,317,6.0,12.0,0.5,0.0,0.0,0.0,6.0,12.0,0.5,3.3,3.9,0.826,5.8,6.9,12.7,1.5,1.4,1.7,2.1,8.2,15.3,0,116,103
Olden Polynice,C,33,SAC,70,25,1458,8.9,19.4,0.45899999999999996,0.0,0.0,0.0,8.9,19.3,0.46,1.9,4.1,0.452,6.2,9.5,15.7,3.8,1.3,1.6,3.5,5.6,19.7,0,96,104
Mark Pope,SF,25,IND,28,0,193,4.0,11.6,0.341,0.3,0.8,0.33299999999999996,3.7,10.8,0.342,2.8,4.8,0.588,2.5,4.8,7.4,2.0,0.8,1.7,2.8,10.2,11.0,0,83,104
Terry Porter,PG,34,MIN,82,8,1786,7.5,16.7,0.449,2.7,6.8,0.395,4.8,10.0,0.485,4.8,5.7,0.856,1.1,3.8,4.9,7.9,1.8,0.5,3.0,3.0,22.6,0,117,109
Vitaly Potapenko,C,22,CLE,80,0,1412,8.9,18.5,0.48,0.0,0.0,0.0,8.9,18.4,0.48,3.9,5.4,0.708,4.2,7.7,11.8,2.2,1.0,1.1,5.0,7.5,21.6,0,93,101
Brent Price,PG,29,HOU,72,2,1332,5.1,12.3,0.413,2.9,7.4,0.39,2.2,4.9,0.447,3.0,3.9,0.7859999999999999,1.5,2.8,4.2,7.6,2.1,0.2,4.4,6.5,16.1,0,106,111
Mark Price,PG,33,ORL,63,33,1430,8.8,20.5,0.431,2.0,6.0,0.335,6.8,14.5,0.47100000000000003,3.4,4.0,0.845,0.9,4.0,5.0,11.4,2.0,0.2,6.2,3.5,23.0,0,99,106
Theo Ratliff,C,24,TOT,82,67,2447,6.7,13.0,0.513,0.0,0.0,0.0,6.7,13.0,0.513,4.3,6.1,0.701,4.8,7.1,11.9,1.2,1.1,5.6,2.5,6.4,17.7,0,111,102
Eldridge Recasner,SG,30,ATL,59,14,1454,7.8,17.0,0.456,2.3,5.6,0.419,5.4,11.4,0.474,2.8,3.0,0.937,1.2,4.1,5.3,4.4,1.5,0.0,3.4,3.5,20.6,0,109,108
Bryant Reeves,C,24,VAN,74,74,2527,10.1,19.4,0.523,0.0,0.1,0.0,10.1,19.3,0.525,4.6,6.5,0.706,4.0,8.0,12.1,3.2,0.8,1.6,3.2,5.7,24.9,0,110,112
Khalid Reeves,PG,25,DAL,82,54,1950,6.8,16.2,0.418,1.5,4.2,0.368,5.3,12.1,0.435,4.5,5.8,0.775,1.5,3.6,5.1,6.3,2.2,0.3,3.6,5.3,19.6,0,103,109
Don Reid,PF,24,DET,68,44,994,5.1,9.6,0.534,0.0,0.0,0.0,5.1,9.6,0.534,2.7,3.9,0.7040000000000001,4.2,5.4,9.6,1.4,1.4,3.0,1.5,10.0,13.0,0,119,103
J.R. Reid,PF,29,CHH,79,1,1109,7.1,15.4,0.45899999999999996,0.1,0.4,0.375,6.9,15.0,0.461,4.3,5.9,0.73,3.5,6.7,10.2,2.5,1.7,0.9,3.1,8.3,18.6,0,102,105
Shawn Respert,SG,25,TOT,57,4,911,7.4,16.8,0.444,1.8,5.3,0.33299999999999996,5.7,11.5,0.495,2.7,3.5,0.787,2.1,3.6,5.7,3.5,1.9,0.1,2.7,4.3,19.4,0,105,113
Rodrick Rhodes,SF,24,HOU,58,13,1070,5.5,15.0,0.36700000000000005,0.1,0.4,0.25,5.4,14.6,0.37,5.5,8.9,0.617,1.4,2.1,3.5,5.4,3.1,0.5,4.8,6.2,16.6,0,86,109
Glen Rice,SF,30,CHH,82,82,3295,10.3,22.6,0.457,2.1,4.9,0.433,8.2,17.7,0.46399999999999997,7.0,8.2,0.8490000000000001,1.5,4.3,5.8,3.0,1.3,0.4,3.0,3.3,29.8,0,112,109
Pooh Richardson,PG,31,LAC,69,17,1252,5.1,13.8,0.37200000000000005,0.5,2.4,0.193,4.7,11.5,0.409,1.2,1.8,0.698,0.7,3.3,4.0,9.4,1.8,0.1,2.2,2.9,12.0,0,99,114
Mitch Richmond*,SG,32,SAC,70,70,2569,11.0,24.7,0.445,2.6,6.8,0.389,8.4,18.0,0.466,8.3,9.6,0.8640000000000001,1.0,3.6,4.6,5.7,1.8,0.3,3.7,3.1,32.9,0,112,109
Isaiah Rider,SG,26,POR,74,66,2786,10.5,24.9,0.423,2.6,8.0,0.321,8.0,16.9,0.47200000000000003,4.2,5.1,0.828,1.9,4.7,6.6,4.4,1.1,0.4,3.6,3.6,27.9,0,104,106
Eric Riley,C,27,DAL,39,14,544,5.5,13.2,0.415,0.0,0.1,0.0,5.5,13.1,0.418,2.6,3.5,0.75,4.2,8.8,13.0,2.2,1.5,4.5,3.6,7.8,13.6,0,90,103
Stanley Roberts,C,27,MIN,74,44,1328,7.5,15.1,0.495,0.0,0.0,0.0,7.5,15.1,0.495,2.9,6.1,0.48100000000000004,4.3,9.9,14.2,1.1,0.9,2.8,2.7,8.8,17.8,0,98,104
Chris Robinson,SG,23,TOT,35,0,414,8.2,21.9,0.374,3.0,8.3,0.364,5.2,13.6,0.38,1.0,2.0,0.5,1.1,4.7,5.8,4.9,2.4,0.5,4.2,6.3,20.4,0,87,109
