Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeShawn Stevenson,SG,21,UTA,61,8,760,5.4,13.5,0.401,0.2,0.6,0.33299999999999996,5.2,12.9,0.40399999999999997,2.2,3.2,0.691,1.0,3.0,4.0,1.9,1.0,0.4,2.3,2.7,13.2
Michael Stewart,PF,27,CLE,47,0,251,2.0,5.3,0.37799999999999995,0.0,0.0,0.0,2.0,5.3,0.37799999999999995,1.1,1.7,0.667,2.7,5.2,7.9,0.9,0.3,2.2,1.4,6.0,5.2
John Stockton*,PG,40,UTA,82,82,2275,4.9,10.1,0.483,0.5,1.3,0.363,4.4,8.9,0.5,3.8,4.5,0.826,0.8,2.4,3.2,10.0,2.2,0.3,2.9,2.9,14.0
Peja Stojaković,SF,25,SAC,72,72,2450,7.3,15.2,0.48100000000000004,2.3,6.0,0.382,5.0,9.2,0.545,3.4,3.9,0.875,0.9,4.9,5.8,2.1,1.1,0.1,1.5,2.1,20.3
Damon Stoudamire,PG,29,POR,59,27,1315,4.3,11.4,0.376,1.2,3.1,0.386,3.1,8.2,0.37200000000000005,1.5,1.8,0.7909999999999999,1.1,3.1,4.2,5.6,1.1,0.2,2.2,1.8,11.2
Amar'e Stoudemire,PF,20,PHO,82,71,2570,5.5,11.6,0.47200000000000003,0.0,0.1,0.2,5.5,11.5,0.47600000000000003,4.5,6.8,0.6609999999999999,3.5,6.6,10.1,1.1,0.9,1.2,2.6,3.8,15.5
Erick Strickland,SG,29,IND,71,10,1275,4.6,10.7,0.429,1.8,4.5,0.38799999999999996,2.9,6.2,0.45899999999999996,2.0,2.5,0.805,0.6,3.4,4.1,5.9,1.1,0.2,2.8,3.1,12.9
Mark Strickland,SF,32,DAL,4,0,13,5.5,13.8,0.4,0.0,0.0,0.0,5.5,13.8,0.4,0.0,0.0,0.0,13.8,5.5,19.4,0.0,0.0,0.0,2.8,2.8,11.1
Rod Strickland,PG,36,MIN,47,8,956,4.5,10.5,0.43200000000000005,0.0,0.4,0.091,4.5,10.1,0.446,3.0,4.0,0.738,0.8,2.8,3.6,8.1,1.7,0.2,2.9,2.1,12.1
Bruno Šundov,C,22,BOS,26,0,138,3.7,14.6,0.25,1.0,4.2,0.25,2.6,10.4,0.25,0.0,0.5,0.0,2.1,5.2,7.3,1.8,1.6,0.8,2.3,6.3,8.3
