Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jamal Robinson,SF,27,MIA,6,0,12.0,0.5,3.7,0.136,0.0,0.3,0.0,0.5,3.3,0.15,0.136,0.0,0.0,0.0,0.5,1.3,1.8,0.3,1.0,0.0,0.5,1.2,1.0
James Robinson,PG,30,ORL,6,0,8.3,0.7,1.8,0.364,0.3,0.8,0.4,0.3,1.0,0.33299999999999996,0.455,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.7,0.2,0.7,0.8,1.7
Larry Robinson,PG-SG,33,TOT,34,1,18.6,2.0,5.4,0.364,1.3,3.4,0.379,0.7,2.0,0.33799999999999997,0.484,0.6,0.7,0.875,0.7,1.9,2.6,1.1,0.8,0.1,0.7,1.4,5.9
Carlos Rogers,C,29,HOU,39,0,13.9,1.9,2.8,0.682,0.0,0.0,0.0,1.9,2.8,0.688,0.682,0.7,1.3,0.5579999999999999,1.2,2.3,3.6,0.2,0.3,0.5,0.4,0.8,4.6
Rodney Rogers,SF,29,PHO,82,3,26.6,4.6,10.7,0.43,0.7,2.3,0.29600000000000004,3.9,8.4,0.467,0.462,2.3,3.0,0.7609999999999999,1.1,3.2,4.4,2.2,1.2,0.6,1.9,3.3,12.2
Sean Rooks,C,31,LAC,82,0,18.9,2.1,4.8,0.428,0.0,0.0,0.5,2.0,4.8,0.42700000000000005,0.429,1.3,1.7,0.748,1.1,2.6,3.7,0.9,0.4,0.8,0.9,2.4,5.4
Jalen Rose,SF,28,IND,72,72,40.9,7.9,17.3,0.457,0.8,2.4,0.33899999999999997,7.1,14.8,0.47600000000000003,0.48,4.0,4.8,0.828,0.5,4.5,5.0,6.0,0.9,0.6,2.9,3.2,20.5
Malik Rose,PF,26,SAS,57,9,21.4,2.8,6.5,0.435,0.1,0.3,0.17600000000000002,2.8,6.2,0.447,0.439,2.0,2.8,0.713,1.7,3.7,5.4,0.8,1.0,0.7,1.3,2.6,7.7
Michael Ruffin,PF,24,CHI,45,16,19.5,0.9,2.0,0.444,0.0,0.0,0.0,0.9,2.0,0.444,0.444,0.9,1.7,0.506,2.2,3.6,5.8,0.9,0.7,0.8,1.0,2.9,2.6
Bryon Russell,SF,30,UTA,78,46,31.7,3.9,9.0,0.44,1.2,2.9,0.413,2.7,6.0,0.45299999999999996,0.508,2.8,3.7,0.779,1.2,3.0,4.2,2.1,1.2,0.3,1.4,2.9,12.0
